
************************************************************
01月01日

1085年1月1日 《资治通鉴》编成
1990年11月28日 中国人正式注册顶级域名CN
1960年11月28日 毛里塔尼亚独立
1993年11月28日 孙宪禄因暴力劫持飞机被判无期徒刑
1820年11月28日 恩格斯诞辰

************************************************************
11月29日

1917年11月29日  相声大师侯宝林诞生
1924年11月29日 意大利作曲家普契尼逝世
1927年11月29日 我国著名画家吴昌硕病逝
1942年11月29日 波士顿夜总会大火300人丧生
1949年11月29日 周恩来发表对国民党反动匪帮逃往国外的声明
1977年11月29日 我国首播外国电视剧
1983年11月29日 我国首次发行“票中票”
1994年11月29日 孔繁森因公殉职
1998年11月29日 北京申办2001年世界大学生运动会成功
1995年11月29日 国务院特准坚赞诺布任十一世班禅
1974年11月29日 彭德怀逝世

************************************************************
11月30日

1951年11月30日 文艺界开展整风学习运动
1969年11月30日 无产阶级革命家陶铸逝世
1993年11月30日 中国性病艾滋病防治协会成立
1995年11月30日 勇救犹太人　含冤50年　瑞士的“辛德勒”沉冤得以昭雪
1998年11月30日 柬埔寨王国联合政府成立
1949年11月30日 重庆解放
1835年11月30日 讽刺文学大师――马克・吐温诞辰
1874年11月30日 英国首相丘吉尔诞辰

************************************************************
11月31日


************************************************************
12月01日

1887年12月1日 清政府与葡萄牙签订《北京条约》
1922年12月1日 溥仪婚礼举行　轰动京城
1934年12月1日 基洛夫逝世
1927年12月1日 蒋介石与宋美龄结婚
1945年12月1日 昆明发生“一二・一”惨案”
1948年12月1日 中国人民银行成立
1950年12月1日 我军扭转朝鲜战局
1939年12月1日 阎锡山策动晋西事变
1943年12月1日 开罗宣言发表
1959年12月1日 《南极条约》签署
1981年12月1日 南斯拉夫一客机撞山坠毁178人丧生
1983年12月1日 我国首次临时免收布票絮棉票
1986年12月1日 全国第一个自行车生产集团――“永久”自行车集团成立
1988年12月1日 苏联发生劫持事件　恐怖分子从以色列被押回国
1988年12月1日 第一个世界艾滋病日
1993年12月1日 北京城区开始禁放烟花爆竹
1998年12月1日 北京市法院全面实施公开审判制度
1994年12月1日 北京市开始实施《最低工资规定》
1998年12月1日 埃克森出资购买美孚公司
1999年12月1日 科学家完整破译第22对人体染色体遗传密码
1948年12月1日 我国第一版人民币的诞生
1886年12月1日 人民共和国第一元帅朱德诞辰

************************************************************
12月02日

1859年12月2日 美国反对黑人奴隶制的白人代表布朗逝世
1929年12月2日 裴文中发现北京猿人头盖骨
1942年12月2日 原子裂变成功
1949年12月2日 中央决定发行人民胜利公债
1971年12月2日 阿拉伯联合酋长国正式宣布成立
1969年12月2日 苏联最高苏维埃主席团主席伏罗希洛夫逝世
1980年12月2日 陈云谈“鸟和笼子”的关系
1975年12月2日 毛泽东主席会见美国总统福特
1981年12月2日 世界上最古老的神庙被发现
1982年12月2日 世界上第一颗人造心脏移植成功
1986年12月2日 第一次全国城镇房屋普查结果公布
1988年12月2日 中国人登上南极文森峰　创最短时间登顶纪录
1997年12月2日 俄罗斯泽里扬诺夫斯克矿井发生瓦斯爆炸
1998年12月2日 我国远洋科学考察取得新突破  “大洋一号”顺利返回青岛
1993年12月2日 哥头号毒枭埃斯科瓦尔被击毙
1998年12月2日 福州IP电话案开庭
1823年12月2日 《门罗宣言》发表
1908年12月2日 宣统溥仪登基
1999年12月2日 国际保护臭氧层大会高级别会议在京开幕（这是迄今为止中国承办的规模最大的国际环保会议）

************************************************************
12月03日

1857年12月3日 波兰作家约瑟夫・康拉德诞辰
1859年12月3日 日本共产党的创始人片山潜诞辰
1863年12月3日 曾国藩委派容闳出洋购买机器
1877年12月3日 近代著名学者王国维诞辰
1894年12月3日 英国作家斯蒂文森逝世
1982年12月3日 联合国大会通过《关于残疾人的世界行动纲领》
1982年12月3日 第九届亚运会闭幕  中国队夺得61枚金牌  金牌总数首次居于第一位
1984年12月3日 震惊世界的印度博帕尔毒气泄漏惨案
1985年12月3日 我国第一条货轮海运邮路开通
1986年12月3日 知名爱国人士王宽诚逝世
1989年12月3日 世界首例肝心肾移植成功
1990年12月3日 德国统一后首次大选揭晓  科尔继续担任总理
1997年12月3日 平遥古城列入世界文化遗产名录
1999年12月3日 神秘大火烧死美国亿万富翁
2002年12月3日 我国获得2010年世博会举办权

************************************************************
12月04日

1906年12月4日 “萍浏醴起义”
1932年12月4日 韩国前总统卢泰愚诞辰
1939年12月4日 中国军队击败日军　收复昆仑关
1927年12月4日 韩国前总统金泳三诞辰
1950年12月4日 民间音乐家阿炳逝世
1965年12月4日 美国发射“双子星座七号”宇宙飞船
1976年12月4日 中非共和国改名中非帝国
1982年12月4日 五届人大五次会议通过新宪法
1991年12月4日 我国呼吁早日恢复我关贸总协定缔约国地位
1992年12月4日 联合国秘书处宣布改组机构
1994年12月4日 杰出的国际主义战士汉斯・米勒逝世
1995年12月4日 美宣布退出联合国工发组织
1995年12月4日 香港法庭首次使用中文审理案件
1982年12月4日 《义勇军进行曲》被恢复为国歌
1999年12月4日 比利时王室喝喜酒　耗资一百万美元
1999年12月4日 米谢尔当选为法国重要政党的第一位女党魁
2001年12月4日 美机炸死百余名阿平民
1586年12月4日 伊丽莎白女王判处玛丽死刑

************************************************************
12月05日

1893年12月5日 中英签订《中英会议藏印条款》
1926年12月5日 毛泽东主编《政治周报》
1933年12月5日 美国禁酒令结束，举国欢呼
1936年12月5日 苏联一九三六年新宪法通过
1948年12月5日 平津战役开始
1987年12月5日 “卡松号”货轮遇难　２３名中国船员丧生
1995年12月5日 韩国前总统卢泰愚被起诉
1996年12月5日 奥尔布赖特出任美国首位女国务卿
1998年12月5日 广东省高级人民法院作出终审判决  张子强等５名主犯被执行死刑
1989年12月5日 画家李可染逝世
1870年12月5日 法国著名作家大仲马病逝
1901年12月5日 娱乐业巨头沃尔特 ・迪斯尼诞生

************************************************************
12月06日

1907年12月6日 清末立宪运动兴起
1917年12月6日 芬兰宣布脱离俄国独立
1922年12月6日 爱尔兰自由邦成立
1926年12月6日 法国画家莫奈逝世
1938年12月6日 周恩来同蒋介石商谈两党合作
1957年12月6日 美国实验性人造卫星爆炸
1984年12月6日 中国新闻学会成立
1985年12月6日 三北防护林体系一期工程结束
1985年12月6日 我军卓越的政治工作者谭冠三逝世
1992年12月6日 印度爆发教族骚乱  造成1100多人死亡  4000多人受伤
1984年12月6日 英文版《邓小平文集》在伦敦出版
1995年12月6日 中俄朝韩蒙签署图们江地区开发协定
1997年12月6日 我国早期女企业家董竹君逝世
1997年12月6日 俄发生重大坠机事故
1986年12月6日 泥沙学家钱宁逝世
1998年12月6日 查韦斯当选委内瑞拉总统
1999年12月6日 南疆铁路全线开通运营
2001年12月6日 中国航油在新加坡成功上市
2001年12月6日 广西壮族自治区常务副主席刘知炳被查处
2002年12月6日 我科学家发现核反应堆中微子消失现象
1979年12月6日 西单“民主墙”禁贴大字报
1892年12月6日 世界著名电子电器之父西门子逝世

************************************************************
12月07日

1976年12月7日 作曲家郑律成逝世
1981年12月7日 以色列开凿地中海死海运河计划遭联大反对
1988年12月7日 世界最大的油漆画被涂浮船坞外壁工程开始
1988年12月7日 亚美尼亚发生７.１级强烈地震
1988年12月7日 长崎市长本岛直言战争责任竟遭枪击
1989年12月7日 中央纪委要求严肃处理参与嫖娼卖淫党员
1992年12月7日 玻利维亚山体滑坡千人丧生
1997年12月7日 纽约举行纪念南京大屠杀音乐会
1985年12月7日 南亚七国首脑会议开幕
1999年12月7日 荷兰发生校园枪杀案  激起社会强烈反响
2001年12月7日 塔利班向坎大哈新政权缴械
1941年12月7日 日本偷袭珍珠港

************************************************************
12月08日

1633年12月8日 明代科学家徐光启逝世
1865年12月8日 芬兰音乐家西贝柳斯诞辰
1905年12月8日 陈天华蹈海自绝
1910年12月8日 卞之琳诞生
1925年12月8日 希特勒的《我的奋斗》第一卷出版
1971年12月8日 我国与冰岛建交
1978年12月8日 以色列女总理梅厄逝世
1980年12月8日 约翰・列农遇刺
1985年12月8日 南亚区域合作联盟成立
1989年12月8日 北京正负电子对撞机同步辐射装置通过鉴定
1994年12月8日 克拉玛依发生特大火灾
1941年12月8日 太平洋战争爆发　中共中央发表宣言
1995年12月8日 我国首次对外出租大型客机
1997年12月8日 长二丙改进型火箭首次发射铱星成功
2000年12月8日 山东“阳信事件”发生
1987年12月8日 美苏领导人签署中导条约
1941年12月8日 日军侵占香港

************************************************************
12月09日

1917年12月9日 葡萄牙发生军事叛乱，共和政府被迫下台
1941年12月9日 中国对日德意正式宣战
1948年12月9日 联合国通过防止及惩办灭绝种族罪公约
1958年12月9日 黄河三门峡截流工程结束
1959年12月9日 中国政府抗议印尼反华排华
1966年12月9日 中央发布抓革命、促生产十条规定
1967年12月9日 社会学家潘光旦逝世
1970年12月9日 日本“促进恢复日中邦交议员联盟”成立
1979年12月9日 我国首次参加世界体操锦标赛　成绩显著
1991年12月9日 《马斯特里赫特条约》签署
1997年12月9日 巴以冲突十年伤亡惨重
1997年12月9日 中美国防部官员举行首次正式磋商
1996年12月9日 世贸组织首届部长会议举行
2000年12月9日 以色列巴拉克宣布辞职
1929年12月9日 澳大利亚前总理霍克诞辰
1935年12月9日 “一二・九”运动

************************************************************
12月10日

1901年12月10日 瑞典首次颁发诺贝尔奖
1903年12月10日 英军再次侵入西藏
1918年12月10日 普朗克因发现量子理论而获诺贝尔物理奖
1923年12月10日 叶芝获诺贝尔文学奖
1936年12月10日 戏剧家奥尼尔获诺贝尔文学奖
1948年12月10日 联合国大会通过《世界人权宣言》
1957年12月10日 世界首座地下煤气电站试转成功
1968年12月10日 戏剧家田汉逝世
1979年12月10日 特里萨修女被授予诺贝尔和平奖
1979年12月10日 台湾高雄发生《美丽岛》事件
1941年12月10日 中国军队开始入缅对日作战
1987年12月10日 京津塘高速公路开工
1993年12月10日 工商银行在日首发债券成功
1988年12月10日 联合国维持和平部队获诺贝尔和平奖
1995年12月10日 “伽利略”号发回木星数据
1996年12月10日 首届国际青少年消除贫困奖揭晓
1996年12月10日 联合国对伊拉克实施“石油换食品”协议伊拉克石油被允许对外出口
1997年12月10日 哈萨克斯坦迁都　阿斯塔纳取代阿拉木图
1999年12月10日 我对日美德丙烯酸酯反倾销调查立案
1998年12月10日 我国著名核物理学家王淦昌逝世

************************************************************
12月11日

1803年12月11日 法国音乐家柏辽兹诞辰
1905年12月11日 清廷五大臣启程出洋考察
1911年12月11日 “中国航天之父”钱学森诞辰
1915年12月11日 袁世凯称帝
1918年12月11日 俄罗斯作家索尔仁尼琴诞辰
1931年12月11日 英国通过威斯敏斯特法案
1936年12月11日 英国国王爱德华八世宣布退位
1948年12月11日 平津战役基本解放了华北地区
1994年12月11日 俄罗斯决定解除车臣非法武装
1995年12月11日 我国当代著名女作家杨沫逝世
1996年12月11日 董建华当选香港特区第一任行政长官
1998年12月11日  中国投资银行并入国家开发银行
2001年12月11日 我国正式加入世界贸易组织
2002年12月11日 世界最大野生动物保护区建立
1997年12月11日 华盛顿联邦地方法院处罚微软公司
1929年12月11日 邓小平领导百色起义
1927年12月11日 广州起义爆发
2002年12月11日 著名京剧表演艺术家袁世海辞世

************************************************************
12月12日

1821年12月12日 法国作家福楼拜诞辰
1915年12月12日 美国著名歌唱家弗兰克诞辰
1925年12月12日 伊朗巴列维王朝建立
1927年12月12日 中共创建时期的重要领导人之一张太雷牺牲
1954年12月12日 中央军委召开扩大会议划分军区
1963年12月12日 肯尼亚独立
1966年12月12日 航海家吉切斯特创只身远航纪录
1966年12月12日 教育家吴玉章逝世
1971年12月12日 我自行研制的第一艘导弹驱逐舰启用
1973年12月12日 八大军区司令员对调
1979年12月12日 全斗焕发动军事政变
1994年12月12日 上海地铁一号线开通
1996年12月12日 印孟签署分享恒河水条约
1997年12月12日 欧盟开始东扩进程
1998年12月12日 欧盟首脑会议闭幕　通过《维也纳欧洲战略》
2002年12月12日 我完成世界首张水稻基因组精细图
1936年12月12日 张学良、杨虎城发动“西安事变”
1997年12月12日 审判全球通缉的头号国际恐怖分子“卡洛斯”

************************************************************
12月13日

1924年12月13日 《现代评论》创刊
1932年12月13日 许德珩等被当局秘密逮捕
1937年12月13日 肖山令中将殉国
1971年12月13日 美、法总统发表联合公报宣布美元贬值
1978年12月13日 邓小平的讲话成为党十一届三中全会的主题报告
1979年12月13日 美国试验成功三叉戟Ⅰ式导弹
1992年12月13日 大邱庄发生非法拘禁、殴打职工致死案
1993年12月13日 福州一台资企业发生特大火灾　死伤68人
1996年12月13日 中国现代话剧奠基人曹禺逝世
2001年12月13日 北京奥运会组委会成立
2001年12月13日 美国宣布退出《反导条约》
2002年12月13日 火车登陆海南岛
1996年12月13日 联合国秘书长候选人产生　科菲・安南出任
1937年12月13日 南京大屠杀
1797年12月13日 德国诗人海涅诞辰

************************************************************
12月14日

1408年12月14日 永乐大典成书
1546年12月14日 近代天文学的始祖――第谷诞辰
1799年12月14日 美国第一任总统乔治・华盛顿逝世
1920年12月14日 爱尔兰被一分为二
1927年12月14日 国民政府与苏联断交
1960年12月14日 我国和索马里建交
1984年12月14日 中国足球队首次进入亚洲杯赛决赛圈
1971年12月14日 我国与塞浦路斯建交
1992年12月14日 作家沙汀逝世
1994年12月14日 三峡工程正式开工
1991年12月14日 埃及历史上最大的海难事件
1999年12月14日 巴拿马收回运河主权
1963年12月14日 周总理访问亚非14国
1931年12月14日 国民党第二十六路军在江西宁都起义
1995年12月14日 《波黑和平协议》正式签字仪式在法国举行
1995年12月14日 联合国发表世界投资报告　我吸引外资世界第二

************************************************************
12月15日

1904年12月15日 俄兵亚齐夫执斧劈华人　引起全国人民抗议
1944年12月15日 美国建立五星上将军衔
1949年12月15日 中国人民外交学会成立
1961年12月15日 纳粹分子艾希曼在以色列被判死刑
1965年12月15日 美国两艘飞船在太空轨道相会
1982年12月15日 首届茅盾文学奖授奖仪式举行
1983年12月15日 中国女子足球队成立
1988年12月15日 北大研制出新一代电子出版系统
1993年12月15日 乌拉圭回合一揽子协议签署
1998年12月15日 “夏商周断代工程”专题报告会举行
2001年12月15日 欧盟首脑会议闭幕  15国首脑一致通过《拉肯宣言》
1966年12月15日 美国动画制作家迪斯尼逝世
1999年12月15日 路易十七的心脏被送到巴黎作基因分析

************************************************************
12月16日

705年12月16日 武则天去世
1890年12月16日 人类第一次利用血清注射治疗疾病获得成功
1917年12月16日 俄国与德国等签署停战协议
1920年12月16日 宁夏海源大地震二十三万人丧生
1945年12月16日 中国民主建国会成立
1949年12月16日 毛泽东访问苏联
1965年12月16日 英国作家毛姆逝世
1970年12月16日 《海牙公约》签署
1986年12月16日 意一妇女一胎生四个试管婴儿
1987年12月16日 卢泰愚当选南朝鲜总统
1995年12月16日 新中国电影的开拓者之一水华逝世
1993年12月16日 日本前首相田中角荣逝世
1996年12月16日 美中关系全委会发表美中战略走向报告
1996年12月16日 《人民日报》首次发表“股评”引发“股票地震”
1996年12月16日 国务院任命董建华为香港特别行政区第一任行政长官
1996年12月16日 南京大学名誉校长匡亚明逝世
1999年12月16日 中美就美国轰炸中国驻南使馆的赔偿问题达成协议
1963年12月16日 罗荣桓元帅逝世
1770年12月16日 著名作曲家贝多芬诞辰
1775年12月16日 英国作家奥斯丁诞辰

************************************************************
12月17日

1538年12月17日 罗马教皇宣布开除亨利八世教籍
1830年12月17日 南美独立战争领袖玻利瓦尔逝世
1888年12月17日 北洋海军正式成军　丁汝昌为海国提督
1902年12月17日 京师大学堂正式开学
1935年12月17日 瓦窑堡会议召开
1940年12月17日 电影艺术家沈西苓病逝
1941年12月17日 中共施行“精兵简政”
1948年12月17日 法国电影的“票房火车头”德帕蒂约诞辰
1971年12月17日 印度和东巴基斯坦之间的战争结束
1986年12月17日 世界第一例心肺肝同时移植手术完成
1998年12月17日 中国首届青少年网络大赛闭幕
1998年12月17日 中俄中美领导人就伊拉克局势交换意见

************************************************************
12月18日

1865年12月18日 美国废除奴隶制
1882年12月18日 蔡锷诞生
1890年12月18日 无线电发明家阿姆斯特朗诞生
1903年12月18日 美国迫使巴拿马签订“美巴条约”
1911年12月18日 南北停战议和
1913年12月18日 南非的一次“非暴力抵抗运动”
1942年12月18日 日本制订“对华新策略”
1956年12月18日 联合国接纳日本为会员国
1969年12月18日 英国废除死刑
1971年12月18日 美元在第二次世界大战后首次贬值
1978年12月18日 我国参加首次全球大气试验
1979年12月18日 消除对妇女一切形式歧视公约通过
1981年12月18日 阿尔巴尼亚劳动党中央政治局委员谢胡“自杀身亡”
1987年12月18日 我国制成第一部完全国产化机器人
1995年12月18日 联合国宣布1996年为国际消除贫困年
1996年12月18日 江泽民主席会见董建华
1978年12月18日 中共十一届三中全会召开
1938年12月18日 汪精卫公开叛国投日
1946年12月18日 美国著名导演斯皮尔伯格诞辰

************************************************************
12月19日

1742年12月19日 瑞典著名化学家舍勒诞辰
1903年12月19日 《中国白话报》在上海创刊
1906年12月19日 勃列日涅夫诞辰
1956年12月19日 中国摄影家协会成立40年
1972年12月19日 最后一次“阿波罗”登月计划结束
1985年12月19日 中国人民解放军国防大学建立
1988年12月19日 科普作家高士其逝世
1988年12月19日 印度总理拉・甘地访问我国
1994年12月19日 香港回归倒计时牌在天安门广场矗立
1996年12月19日 美国电视节目实行分级
1997年12月19日 俄罗斯发生恐怖分子劫持瑞典外交官事件
1998年12月19日  美众院通过两项弹劾克林顿条款
1998年12月19日 著名学者、作家钱钟书先生逝世
2001年12月19日 国画大师黎雄才逝世
1997年12月19日 金大中当选韩国第十五届总统
1984年12月19日 中英关于香港问题的联合声明正式签字
1793年12月19日 土伦之役
2001年12月19日 马向东郭久嗣伏法

************************************************************
12月20日

753年12月20日 唐代高僧鉴真东渡日本
1958年12月20日 我国与阿尔及利亚建交
1946年12月20日 胡志明发表《全民抗战号召书》
1968年12月20日 美国小说家斯坦贝克逝世
1982年12月20日 钢琴大师鲁宾斯坦逝世
1984年12月20日 邓小平说，解决香港问题经验适用于台湾
1987年12月20日 菲律宾重大海难1500余人遇难
1986年12月20日 美学家宗白华逝世
1989年12月20日 美军入侵　巴拿马运河首次关闭
1998年12月20日 八胞胎在美国休斯敦降生
2002年12月20日 卢武铉当选韩国第十六届总统
1999年12月20日 中葡两国政府澳门政权交接仪式隆重举行
1996年12月20日 德捷妥善处理历史遗留问题

************************************************************
12月21日

1375年12月21日 意大利文艺复兴的代表人物薄迦丘逝世
1879年12月21日 斯大林出生
1920年12月21日 民族独立运动的先驱哈桑逝世
1917年12月21日 德国著名作家海因里希・伯尔诞辰
1928年12月21日 天津劝业场开业
1940年12月21日 美国“爵士时代桂冠诗人”费茨杰拉德逝世
1937年12月21日 美国著名电影演员简・方达诞辰
1945年12月21日 美国将军巴顿逝世
1952年12月21日 周恩来致电联合国抗议美军屠杀战俘
1964年12月21日 我国首次提出“实现四个现代化”
1965年12月21日 全国人大副委员长黄炎培逝世
1967年12月21日 世界第一例心脏移植者逝世
1967年12月21日 评剧演员小白玉霜逝世
1991年12月21日 阿拉木图宣言签署　苏联消失
1992年12月21日 我国发射第二颗澳星　卫星升空后爆炸　原因不明
1997年12月21日 我国建成亚洲最大跨声速风洞
1992年12月21日 大秦铁路全线开通
2001年12月21日 全国野生动植物保护工程启动
2000年12月21日 第二颗“北斗导航试验卫星”在西昌升空

************************************************************
12月22日

1900年12月22日 清廷全盘接受议和大纲
1930年12月22日 苏联全面控制食品供应
1905年12月22日 中日签订《满州善后协约》
1936年12月22日 苏联作家奥斯特洛夫斯基病逝
1948年12月22日 人民解放军平津前线司令部发布约法八章
1971年12月22日 孟加拉共和国建立
1983年12月22日 我国第一台亿次计算机“银河”研制成功
1983年12月22日 中国野生动物保护协会成立
1992年12月22日 首钢开办华夏银行
1993年12月22日 《南非过渡时期临时宪法》通过
1994年12月22日 “申根协定”确定生效日期
1968年12月22日 毛泽东发号召　2000万知识青年上山下乡
1998年12月22日 东京高法宣判东史郎败诉
1997年12月22日 墨西哥发生屠杀案　46人死亡

************************************************************
12月23日

1777年12月23日 俄罗斯历史的两面神亚历山大一世诞辰
1872年12月23日 李鸿章奏请试办轮船招商局
1912年12月23日 北京政府声明对西藏拥有全权
1947年12月23日 晶体管问世
1948年12月23日 双手沾满中国人民鲜血的东条英机被处绞刑
1949年12月23日 全国教育工作会议召开
1980年12月23日 第一只人工授精的美洲狮出生
1996年12月23日 华裔何大一当选《时代》风云人物
1998年12月23日 北京为治理污染报废大量“面的”
1998年12月23日 比利时高法结束对“阿古斯塔和达索贿赂案”的审理
1999年12月23日 科特迪瓦发生兵变　政府被推翻
2002年12月23日 北京现代・索纳塔轿车下线
1863年12月23日 现代著名国画大师齐白石诞辰

************************************************************
12月24日

1901年12月24日 苏联作家法捷耶夫诞生
1910年12月24日 清国会请愿运动失败
1987年12月24日 成渝铁路电气化工程建成
1979年12月24日 西欧联合发射“阿丽亚娜”火箭成功
1987年12月24日 我国首次舰载直升机着舰试验成功
1994年12月24日 法航飞机被劫持　法特警神威救人质
1999年12月24日  法政坛元老德姆维尔逝世
2001年12月24日 全国检察机关实行“首办责任制”
1946年12月24日 沈崇事件掀起反美怒潮
1999年12月24日 江华同志逝世

************************************************************
12月25日

1642年12月25日 牛顿诞辰
1915年12月25日 护国运动开始
1935年12月25日 中共召开瓦窑堡会议
1939年12月25日 我军击退了国民党第一次反共高潮
1946年12月25日 《中华民国宪法》确认了蒋介石的个人统治
1948年12月25日 中共开列国民党头等战犯名单
1970年12月25日 毛泽东批准兴建葛洲坝工程
1983年12月25日 西班牙著名梦幻绘画家米罗逝世
1977年12月25日 世界幽默大师卓别林逝世
1989年12月25日 原罗马尼亚总统齐奥塞斯库被处死
1993年12月25日 中国科学家成功跟踪失控返回式卫星
1998年12月25日 红色高棉领导人乔森潘和农谢投向柬政府
1998年12月25日 俄白签署建立联盟国家宣言
2000年12月25日 洛阳发生特大火灾事故死亡309人
2002年12月25日 中国造血干细胞库网络系统建立
1991年12月25日 戈尔巴乔夫宣布辞去苏联总统职务

************************************************************
12月26日

1898年12月26日 居里夫人发现镭
1916年12月26日 蔡元培出任北京大学校长
1935年12月26日 续范亭在南京中山陵下悲愤剖腹
1962年12月26日 《中蒙边界条约》签订
1978年12月26日 我国第二条交通大干线枝柳铁路通车
1968年12月26日 京剧表演艺术家荀慧生逝世
1993年12月26日 我国运七200A型客机首飞成功
1993年12月26日 毛泽东诞辰一百周年纪念大会在京隆重举行
1999年12月26日 我国西部的最大水电站二滩水电站全面建成投产
1984年12月26日 中国首次南极考察编队抵达南极洲
1893年12月26日 人民共和国的缔造者毛泽东诞辰

************************************************************
12月27日

1930年12月27日 中国工农红军第一次反围剿战争开始
1945年12月27日 国际货币基金组织成立
1949年12月27日 国民党彻底退出中国大陆舞台
1955年12月27日 我国第一座自行设计、施工、建造的自动化水电站――官厅水电站开始发电
1978年12月27日 我国第一批赴美国进修学者抵达华盛顿
1991年12月27日 俄罗斯在联合国取代前苏联
1991年12月27日 廖沫沙逝世
1994年12月27日 纪念梅兰芳、周信芳诞辰１００周年
1995年12月27日 韩重判“三丰”事故责任者
1995年12月27日 法公布对“太阳圣殿教”教徒集体死亡案调查结果
1979年12月27日 阿富汗发生武装政变　苏联军队直接参与
2002年12月27日 南水北调工程开工典礼举行
1915年12月27日 著名记者黄远生被暗杀

************************************************************
12月28日

1893年12月28日 新中国第一任大法官张志让诞辰
1885年12月28日 印度国民大会党成立
1923年12月28日 埃菲尔铁塔修建者去世
1929年12月28日 古田会议召开
1957年12月28日 第一辆国产三轮汽车诞生
1984年12月28日 上海港跃入世界十大港行列
1984年12月28日 我国第二条地铁天津地铁建成通车
1985年12月28日 我国颁发首批专利证书
1988年12月28日 胜利油田再次发现上亿吨新油田
1990年12月28日 新中国第一位女电影导演王苹辞世
1992年12月28日 著名核科学家姜圣阶逝世
1996年12月28日 第一艘国防动员船问世
1919年12月28日 民国时期代总统冯国璋病逝
1996年12月28日 音乐大师彭修文逝世
2001年12月28日 我最大合资项目获16亿美元银团贷款

************************************************************
12月29日

1885年12月29日 英外相照会清政府欲合并缅甸
1911年12月29日 孙中山当选为临时大总统
1932年12月29日 中国民权保障同盟成立
1950年12月29日 毛泽东所著《实践论》发表
1968年12月29日 南京长江大桥全面建成通车
1972年12月29日 我国与贝宁复交
1984年12月29日 瑞士建成世界地势最高的地铁
1985年12月29日 象牙海岸改国名为“科特迪瓦”
1989年12月29日 哈维尔当选捷克共和国首任总统
1993年12月29日 《保护生物多样性公约》成为国际法
1996年12月29日 危地马拉结束36年的内战签署和平协定
1998年12月29日 收受贿赂　湖北省原副省长孟庆平被查处
2002年12月29日 中国电力11家新组建（改组）公司揭牌
1996年12月29日 俄油船断裂　日沿海污染
1928年12月29日 东三省改旗易帜
1899年12月29日 聂荣臻元帅诞辰

************************************************************
12月30日


************************************************************
11月01日


************************************************************
11月02日


************************************************************
11月03日


************************************************************
11月04日


************************************************************
11月05日


************************************************************
11月06日


************************************************************
11月07日


************************************************************
01月01日


************************************************************
01月02日


************************************************************
01月03日


************************************************************
01月04日


************************************************************
01月01日


************************************************************
01月02日


************************************************************
01月01日


************************************************************
01月02日


************************************************************
01月03日


************************************************************
01月04日


************************************************************
01月01日


************************************************************
01月02日


************************************************************
01月03日


************************************************************
01月04日


************************************************************
01月05日


************************************************************
01月06日


************************************************************
01月07日


************************************************************
01月08日


************************************************************
01月09日


************************************************************
01月10日


************************************************************
01月11日


************************************************************
01月12日


************************************************************
01月13日


************************************************************
01月14日


************************************************************
01月15日


************************************************************
01月16日


************************************************************
01月17日


************************************************************
01月18日


************************************************************
01月19日


************************************************************
01月20日


************************************************************
01月21日


************************************************************
01月22日


************************************************************
01月23日


************************************************************
01月24日


************************************************************
01月25日


************************************************************
01月26日


************************************************************
01月27日


************************************************************
01月28日


************************************************************
01月29日


************************************************************
01月30日


************************************************************
01月31日


************************************************************
02月01日


************************************************************
02月02日


************************************************************
02月03日


************************************************************
02月04日


************************************************************
02月05日


************************************************************
02月06日


************************************************************
02月07日


************************************************************
02月08日


************************************************************
02月09日


************************************************************
02月10日


************************************************************
02月11日


************************************************************
02月12日


************************************************************
02月13日


************************************************************
02月14日


************************************************************
02月15日


************************************************************
02月16日


************************************************************
02月17日


************************************************************
02月18日


************************************************************
02月19日


************************************************************
02月20日


************************************************************
02月21日


************************************************************
02月22日


************************************************************
02月23日


************************************************************
02月24日


************************************************************
02月25日


************************************************************
02月26日


************************************************************
02月27日


************************************************************
02月28日


************************************************************
02月29日


************************************************************
03月01日


************************************************************
03月02日


************************************************************
03月03日


************************************************************
03月04日


************************************************************
03月05日


************************************************************
03月06日


************************************************************
03月07日


************************************************************
03月08日


************************************************************
03月09日


************************************************************
03月10日


************************************************************
03月11日


************************************************************
03月12日


************************************************************
03月13日


************************************************************
03月14日


************************************************************
03月15日


************************************************************
03月16日


************************************************************
03月17日


************************************************************
03月18日


************************************************************
03月19日


************************************************************
03月20日


************************************************************
03月21日


************************************************************
03月22日


************************************************************
03月23日


************************************************************
03月24日


************************************************************
03月25日


************************************************************
03月26日


************************************************************
03月27日


************************************************************
03月28日


************************************************************
03月29日


************************************************************
03月30日


************************************************************
03月31日


************************************************************
04月01日


************************************************************
04月02日


************************************************************
04月03日


************************************************************
04月04日


************************************************************
04月05日


************************************************************
04月06日


************************************************************
04月07日


************************************************************
04月08日


************************************************************
04月09日


